name,vote_count
hazbin hotel,738
breaking bad,13285
shgun,279
arcane,3668
one piece,4368
avatar: the last airbender,3822
rick and morty,9242
fullmetal alchemist: brotherhood,1893
anne with an e,4518
bluey,437
demon slayer: kimetsu no yaiba,5940
better call saul,4749
the owl house,1484
fighting spirit,949
chernobyl,5799
attack on titan,5965
invincible,4100
goblin,2608
my hero academia,4663
the chosen,242
death note,3863
slam dunk,849
the sopranos,2487
once,1398
alchemy of souls,475
regular show,1860
kamisama kiss,833
i am not an animal,777
merlã­,1046
hunter x hunter,1592
heartstopper,1187
primal,1319
weightlifting fairy kim bok-joo,745
the last of us,4585
high school dã—d,1753
neon genesis evangelion,1557
toilet-bound hanako-kun,683
stranger things,16819
zoids: chaotic century,321
jojo's bizarre adventure,1300
young royals,1017
spy x family,1670
ranma â½,1271
big time rush,1592
"love, victor",1518
haikyu!!,1222
the originals,3225
the spectacular spider-man,744
blue eye samurai,280
house,6127
konosuba â€“ god's blessing on this wonderful world!!,1182
rascal does not dream of bunny girl senpai,1105
darling in the franxx,1727
inuyasha,1921
crash landing on you,617
dr. stone,1334
the umbrella academy,9089
the kardashians,2008
jujutsu kaisen,3203
metal family,398
scissor seven,595
kaguya-sama: love is war,685
the office,3780
shadow hunter,917
villainous,297
jewel in the palace,224
real girl,426
run bts!,346
cardcaptor sakura,676
horimiya,858
banana fish,818
dickinson,881
golden time,523
marry my husband,202
arifureta: from commonplace to world's strongest,542
gravity falls,2695
cyberpunk: edgerunners,1147
blue planet ii,234
scarlet heart: ryeo,485
chainsaw man,1465
bojack horseman,2236
digimon tamers,320
given,717
your lie in april,899
naruto shippå«den,7884
the wire,2031
dororo,1076
the rising of the shield hero,1234
planet earth ii,722
over the garden wall,1350
teen wolf,3991
it's okay to not be okay,1209
shaman king,386
hotel del luna,500
the glory,576
yuri!!! on ice,570
bts in the soop,396
maid sama!,537
peaky blinders,9390
planet earth,1001
vincenzo,844
rurouni kenshin,705
my dress-up darling,594
mushoku tensei: jobless reincarnation,928
cowboy bebop,1491
mr. queen,365
my holo love,814
my love story!!,335
